Orf;Name;Desc;"48hr VAN vs 48 hr NO ABX log2FC";"48hr VAN vs 48 hr NO ABX Adj. p-value";"48hr LZD vs 48 hr NO ABX log2FC";"48hr LZD vs 48 hr NO ABX Adj. p-value";"48hr CPT vs 48 hr NO ABX log2FC";"48hr CPT vs 48 hr NO ABX Adj. p-value";"48hr DEL vs 48 hr NO ABX log2FC";"48hr DEL vs 48 hr NO ABX Adj. p-value"
SAUSA300_RS01215;-;acyl CoA:acetate/3-ketoacid CoA transferase;0.5;0.72791;-0.05;1;0.13;0.95945;0.1;1
SAUSA300_RS01220;-;PrsW family intramembrane metalloprotease;-0.03;1;-0.28;0.59997;-0.03;1;-0.04;1
SAUSA300_RS01225;-;ABC transporter substrate-binding protein;0.25;0.89432;-0.12;0.88768;0.02;1;-0.05;1
SAUSA300_RS01230;-;DUF488 domain-containing protein;0.36;1;-0.26;0.98589;-0.22;1;-0.38;0.88532
SAUSA300_RS01235;-;hypothetical protein;0.46;1;0.16;1;-0.19;1;0.07;1
SAUSA300_RS01240;-;FAD-binding oxidoreductase;0.07;1;-0.06;1;0.15;1;0.07;1
SAUSA300_RS01250;-;L-lactate dehydrogenase;-1.18;0.56282;-0.29;1;-0.2;1;-0.41;1
SAUSA300_RS01260;-;PTS transporter subunit EIIC;0.87;0.33499;0.17;0.78619;0.27;0.46377;0.26;0.57493
SAUSA300_RS01265;-;nucleoside hydrolase;0.33;1;-0.1;1;-0.15;1;-0.07;1
SAUSA300_RS01270;-;hypothetical protein;2.05;0.89432;0.38;0.8569;0.85;0.94332;0.06;1
SAUSA300_RS01275;-;BglG family transcription antiterminator;0.51;0.48143;0.14;0.75694;0.21;0.72322;0.13;0.82127
SAUSA300_RS01280;-;PTS sugar transporter subunit IIA;0.04;1;0.53;0.41821;0.77;0.25299;0.38;0.60801
SAUSA300_RS01285;-;PTS sugar transporter subunit IIB;0.68;0.85259;-0.23;1;-0.11;1;-0.28;1
SAUSA300_RS01290;-;PTS galactitol transporter subunit IIC;-0.23;0.98197;-0.36;0.48226;-0.15;0.9646;-0.16;0.99525
SAUSA300_RS01295;-;zinc-binding dehydrogenase;0.32;0.95283;-0.25;0.64282;0.06;1;-0.23;0.79675
SAUSA300_RS01300;-;hypothetical protein;-0.85;1;1.17;0.52664;1.48;0.76849;1.17;0.59265
SAUSA300_RS01305;-;galactitol-1-phosphate 5-dehydrogenase;0.14;1;-0.31;0.61467;-0.27;0.64931;-0.3;0.60112
SAUSA300_RS01310;-;2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase;0.34;1;0.49;0.52664;0.39;0.75076;-0.18;1
SAUSA300_RS01315;-;alcohol dehydrogenase catalytic domain-containing protein;-0.18;0.99946;-0.01;1;0.04;1;-0.06;1
SAUSA300_RS01320;-;CDP-glycerol glycerophosphotransferase family protein;0.72;0.14147;0.28;0.28258;0.28;0.43526;0.38;0.10628
SAUSA300_RS01325;-;CDP-glycerol--glycerophosphate glycerophosphotransferase;-0.63;1;-0.02;1;-0.13;1;0.53;1
SAUSA300_RS01340;-;CDP-glycerol glycerophosphotransferase family protein;-0.82;1;0.72;0.63204;0.33;1;0.37;0.94334
SAUSA300_RS01345;tarS;poly(ribitol-phosphate) beta-N-acetylglucosaminyltransferase;0.07;1;0.05;1;-0.04;1;0.13;0.80885
SAUSA300_RS01350;scdA;iron-sulfur cluster repair di-iron protein ScdA;-0.3;1;0.38;0.53236;0.34;0.80514;0.35;0.71684
SAUSA300_RS01355;-;sensor histidine kinase;-0.17;1;-0.07;1;-0.19;0.802;-0.21;0.7329
SAUSA300_RS01360;-;response regulator transcription factor LytR;0.33;0.88771;-0.15;0.97831;-0.2;0.90823;-0.3;0.63899
SAUSA300_RS01365;lrgA;antiholin-like murein hydrolase modulator LrgA;0.67;0.8632;0.39;0.5783;0.49;0.50496;0.11;1
SAUSA300_RS01370;lrgB;antiholin-like protein LrgB;-0.11;1;0.25;0.98589;-0.19;1;0.13;1
SAUSA300_RS01375;-;GntR family transcriptional regulator;-1.17;0.03645;-0.8;0.16194;-0.45;0.67522;-0.59;0.47347
SAUSA300_RS01380;-;glucose PTS transporter subunit IIA;0.82;0.47619;0.52;0.17944;0.84;0;0.45;0.20585
SAUSA300_RS01385;-;6-phospho-beta-glucosidase;-0.14;1;-0.26;0.5783;-0.27;0.67522;-0.16;1
SAUSA300_RS01395;-;class I SAM-dependent methyltransferase;0.17;1;-0.07;1;-0.02;1;0.04;1
SAUSA300_RS01400;-;hypothetical protein;0.02;1;-0.05;1;-0.06;1;-0.03;1
SAUSA300_RS01405;rbsK;ribokinase;0.41;0.8632;-0.08;1;-0.01;1;0;1
SAUSA300_RS01410;rbsD;D-ribose pyranase;-0.52;0.8278;-0.15;1;-0.18;1;-0.56;0.62165
SAUSA300_RS01415;rbsU;ribose transporter RbsU;-1.09;0.27675;-0.42;0.59997;0.03;1;-0.27;0.93411
SAUSA300_RS01420;-;LacI family transcriptional regulator;-0.2;1;-0.38;0.53236;-0.1;1;-0.07;1
SAUSA300_RS01430;-;hypothetical protein;-0.22;1;0.32;0.86942;-0.04;1;0.08;1
SAUSA300_RS01435;-;IS1182 family transposase;0.6;1;-0.03;1;0.59;0.55722;0.23;0.95383
SAUSA300_RS01440;-;MFS transporter;-0.41;0.69065;-0.35;0.39994;-0.24;0.72322;-0.31;0.53224
SAUSA300_RS01445;-;linear amide C-N hydrolase;0.65;0.42964;-0.12;0.94943;0.12;1;-0.08;1
SAUSA300_RS01450;lytM;glycine-glycine endopeptidase LytM;0.44;0.76439;0.33;0.401;0.22;0.75076;0.34;0.47619
SAUSA300_RS01455;-;ABC transporter ATP-binding protein;0.13;1;0.03;1;-0.04;1;0.02;1
SAUSA300_RS01460;-;ABC transporter permease;-0.19;1;-0.15;0.75694;-0.02;1;-0.16;0.79675
SAUSA300_RS01465;-;ABC transporter permease;-0.24;0.9575;-0.21;0.75694;0.11;0.99975;-0.22;0.67537
SAUSA300_RS01470;-;hypothetical protein;0.46;0.85259;0.04;1;-0.05;1;-0.08;1
SAUSA300_RS01475;-;DUF5079 family protein;0.26;1;0.21;0.77889;0.03;1;0.25;0.65789
SAUSA300_RS01480;-;DUF5080 family protein;-0.46;0.77745;-0.15;0.93712;-0.04;1;-0.16;0.85478
SAUSA300_RS01485;-;CHAP domain-containing protein;-0.66;0.27121;-0.37;0.53236;-0.32;0.64931;-0.49;0.38079
SAUSA300_RS01490;esxA;WXG100 family type VII secretion effector EsxA;-0.73;0.91262;0.01;1;0.64;1;0.02;1
SAUSA300_RS01495;esaA;type VII secretion protein EsaA;0.1;1;-0.11;0.89186;-0.01;1;-0.07;1
SAUSA300_RS01500;essA;type VII secretion protein EssA;-0.73;0.91262;-0.82;0.51253;-0.67;0.69942;-0.85;0.51106
SAUSA300_RS01505;esaB;type VII secretion protein EsaB;-0.14;1;-0.25;0.9686;0.05;1;0.19;1
SAUSA300_RS01510;essB;type VII secretion protein EssB;-0.43;0.74329;-0.16;0.94065;-0.07;1;-0.37;0.48167
SAUSA300_RS01515;essC;type VII secretion protein EssC;0.38;0.37723;0;1;-0.03;1;0.02;1
SAUSA300_RS01520;esaC;type VII secretion substrate EsaC;-0.71;0.77745;-0.76;0.43489;-0.93;0.22509;-1.01;0.3464
SAUSA300_RS01525;esxB;WXG100 family type VII secretion effector EsxB;1.51;0.98197;0.15;1;-0.1;1;0.41;0.74492
SAUSA300_RS01530;-;DUF5081 family protein;0.8;0.7041;0.46;0.37531;0.44;0.38717;0.36;0.53536
SAUSA300_RS01535;-;hypothetical protein;-0.13;1;0.11;1;-0.02;1;0.2;1
SAUSA300_RS01540;-;DNA/RNA non-specific endonuclease;0.11;1;-0.4;0.31189;-0.26;0.69942;-0.54;0.14615
SAUSA300_RS01545;-;TIGR01741 family protein;0.65;0.69065;-0.53;0.43338;-0.71;0.19307;-0.5;0.60801
SAUSA300_RS01550;-;DUF5079 family protein;0.27;1;-0.16;0.94689;-0.16;0.96469;0.16;1
SAUSA300_RS01555;-;DUF5080 family protein;0.42;0.85259;0.07;1;0.07;1;0.09;1
SAUSA300_RS01560;-;hypothetical protein;-2.39;0.03765;-0.64;0.845;-0.74;0.87315;-1.11;0.51708
SAUSA300_RS01565;-;TIGR01741 family protein;0.72;0.27675;-0.06;1;-0.01;1;0.18;0.91748
SAUSA300_RS01570;-;TIGR01741 family protein;0.75;0.63928;-0.06;1;0.47;0.56544;0.03;1
SAUSA300_RS01575;-;TIGR01741 family protein;0.66;0.37932;-0.32;0.5783;-0.05;1;-0.34;0.59265
SAUSA300_RS01580;-;TIGR01741 family protein;0.51;0.89432;0;1;0.02;1;-0.13;1
SAUSA300_RS01585;-;DUF5079 family protein;0.4;0.85259;0.09;0.99937;0.09;1;0.21;0.76816
SAUSA300_RS01590;-;TIGR01741 family protein;-0.4;0.89432;-0.37;0.55493;-0.21;0.96469;-0.42;0.60801
SAUSA300_RS01595;-;TIGR01741 family protein;0.07;1;-0.43;0.53236;-0.65;0.17544;-0.51;0.45096
SAUSA300_RS01600;-;antitoxin YezG family protein;0.53;0.77745;0.02;1;-0.02;1;0.1;0.98454
SAUSA300_RS01605;-;TIGR01741 family protein;-0.06;1;-0.67;0.11771;-0.62;0.16609;-0.52;0.41336
SAUSA300_RS01610;-;antitoxin YezG family protein;0.58;0.72791;0;1;-0.24;0.8348;0.03;1
SAUSA300_RS01615;-;DUF4467 domain-containing protein;-0.16;1;0;1;0.16;1;0.02;1
SAUSA300_RS01620;-;DUF4064 domain-containing protein;0.36;1;0.44;0.52664;0.71;0.35745;0.2;0.97746
SAUSA300_RS01625;-;formate/nitrite transporter family protein;-0.46;0.67203;-0.04;1;-0.19;0.90823;0.04;1
SAUSA300_RS01630;brnQ;branched-chain amino acid transport system II carrier protein;-0.19;1;-0.66;0.00693;-0.54;0.03686;-0.34;0.32875
SAUSA300_RS01635;-;5'-nucleotidase%2C lipoprotein e(P4) family;-0.07;1;-0.24;0.72823;-0.31;0.61022;-0.29;0.7329
SAUSA300_RS01645;-;FtsX-like permease family protein;0.24;1;-0.12;0.99426;-0.22;0.90823;-0.03;1
SAUSA300_RS01650;-;ABC transporter ATP-binding protein;-0.43;0.67203;-0.12;1;-0.14;1;-0.16;0.92432
SAUSA300_RS01655;-;PTS sugar transporter subunit IIC;0.4;0.85259;0.27;0.53236;0.37;0.56544;0.35;0.62165
SAUSA300_RS01660;-;winged helix-turn-helix transcriptional regulator;0.63;0.44697;-0.04;1;-0.21;0.90823;-0.21;0.80885
SAUSA300_RS01665;-;pseudouridine-5'-phosphate glycosidase;0.12;1;0.25;0.86942;-0.02;1;-0.05;1
SAUSA300_RS01670;-;NupC/NupG family nucleoside CNT transporter;0.38;0.89432;0.13;0.99426;-0.11;1;0.11;1
SAUSA300_RS01675;-;sodium:solute symporter;0.31;0.9575;-0.12;0.94943;-0.13;0.92568;-0.18;0.84379
SAUSA300_RS01680;-;N-acetylneuraminate lyase;-0.08;1;-0.16;0.95761;-0.27;0.92568;-0.49;0.60801
SAUSA300_RS01685;-;ROK family protein;0.48;0.62937;0.1;0.95761;0.07;1;-0.02;1
SAUSA300_RS01690;-;MurR/RpiR family transcriptional regulator;0.84;0.50896;0.33;0.77889;0.34;0.7907;-0.16;1
SAUSA300_RS01695;-;N-acetylmannosamine-6-phosphate 2-epimerase;0.48;0.85259;0.19;0.9686;0.66;0.16744;-0.14;1
SAUSA300_RS01700;-;YjiH family protein;0.38;0.88771;0.24;0.63204;0.16;0.92568;0;1
SAUSA300_RS01705;lip2;YSIRK domain-containing triacylglycerol lipase Lip2/Geh;-0.18;1;-0.15;0.89186;0.06;1;-0.16;0.94334
SAUSA300_RS01710;-;alpha/beta hydrolase;0.32;1;-0.02;1;-0.14;0.99975;-0.12;1
SAUSA300_RS01715;-;NADH-dependent flavin oxidoreductase;0.24;1;-0.14;1;-0.15;1;-0.25;0.9739
SAUSA300_RS01720;-;hypothetical protein;-0.23;1;0.7;0.70931;1.31;0.38412;1.58;0.59265
SAUSA300_RS01725;-;LLM class flavin-dependent oxidoreductase;-0.47;0.85259;0.13;0.97831;0.37;0.62009;0.2;0.89558
SAUSA300_RS01730;-;glycine cleavage system protein H;-1.07;0.85259;-0.12;1;-0.27;1;-0.01;1
SAUSA300_RS01735;-;protein-ADP-ribose hydrolase;0.08;1;-0.12;0.98684;-0.08;1;-0.22;0.63899
SAUSA300_RS01740;-;NAD-dependent deacetylase;0.29;0.99226;0.14;0.98684;0;1;0.01;1
SAUSA300_RS01745;-;lipoate--protein ligase;-0.07;1;-0.01;1;0.14;0.98416;-0.01;1
SAUSA300_RS01750;-;aldehyde reductase;-0.08;1;-0.04;1;0.16;0.96952;-0.05;1
SAUSA300_RS01755;-;PTS ascorbate transporter subunit IIC;-0.04;1;-0.09;1;-0.13;1;0.03;1
SAUSA300_RS01760;-;PTS sugar transporter subunit IIB;-0.01;1;0.59;0.40513;0.91;0.16609;0.93;0.24623
SAUSA300_RS01765;-;PTS sugar transporter subunit IIA;0.26;1;-0.26;0.90175;-0.13;1;-0.04;1
SAUSA300_RS01770;-;BglG family transcription antiterminator;0.15;1;-0.06;1;0.07;1;-0.19;0.74492
SAUSA300_RS01775;mepR;multidrug efflux transporter transcriptional repressor MepR;1.44;0.91856;0.62;0.61467;0.52;0.80514;0.85;0.40935
SAUSA300_RS01780;mepA;multidrug efflux MATE transporter MepA;0.09;1;-0.45;0.43338;-0.4;0.54283;-0.33;0.63899
SAUSA300_RS01785;-;MepB family protein;0.26;1;-0.27;0.59997;-0.15;0.9646;-0.26;0.85478
SAUSA300_RS01790;glpT;glycerol-3-phosphate transporter;-0.08;1;0.01;1;0.08;1;0.1;1
SAUSA300_RS01795;-;VOC family protein;-0.44;0.84393;-0.23;0.845;-0.17;0.98416;-0.1;1
SAUSA300_RS01800;-;LLM class flavin-dependent oxidoreductase;0.13;1;0.27;0.51253;0.25;0.7907;0.32;0.51106
SAUSA300_RS01805;-;NAD(P)H-dependent oxidoreductase;0.47;0.99226;-0.05;1;-0.04;1;-0.2;1
SAUSA300_RS01810;-;YeiH family protein;0.3;0.90275;0.04;1;0.21;0.88965;0.03;1
SAUSA300_RS01815;-;hypothetical protein;-0.71;0.99124;-0.16;1;0.07;1;0.28;1
SAUSA300_RS01820;-;GNAT family N-acetyltransferase;0;1;-0.07;1;-0.4;0.9968;-0.06;1
SAUSA300_RS01825;-;EfeM/EfeO family lipoprotein;-0.15;1;0.43;0.51894;0.51;0.57579;0.34;0.74492
SAUSA300_RS01830;efeB;iron uptake transporter deferrochelatase/peroxidase subunit;0;1;-0.04;1;-0.38;0.61022;-0.43;0.5417
SAUSA300_RS01835;-;FTR1 family protein;0.44;0.81531;0.19;0.74038;0.3;0.50152;0.02;1
SAUSA300_RS01840;tatC;twin-arginine translocase subunit TatC;0.65;0.67203;0.4;0.15362;0.35;0.5947;0.33;0.51106
SAUSA300_RS01845;-;twin-arginine translocase TatA/TatE family subunit;-1.17;0.22665;0.16;1;0.43;0.95945;0.67;0.80885
SAUSA300_RS01850;-;DUF1398 family protein;0.73;0.33499;-0.01;1;0.05;1;-0.31;0.59265
SAUSA300_RS01855;-;helix-turn-helix transcriptional regulator;0.21;1;0.66;0.8569;0.6;0.96952;0.46;1
SAUSA300_RS01860;-;DUF3169 family protein;0.05;1;0.06;1;0.06;1;0.06;1
SAUSA300_RS01865;-;ABC transporter ATP-binding protein;0.16;1;-0.21;0.94689;-0.17;1;-0.08;1
SAUSA300_RS01870;-;ABC-2 transporter permease;-0.04;1;-0.34;0.44287;-0.12;0.99975;-0.19;0.83319
SAUSA300_RS01875;-;low temperature requirement protein A;0.38;0.85259;-0.24;0.72823;-0.07;1;-0.37;0.38079
SAUSA300_RS01885;-;acetyl-CoA C-acetyltransferase;-1.18;0.96622;1.32;1;-0.2;1;0.06;1
SAUSA300_RS01890;-;cyclase family protein;0.61;0.98491;0.41;0.59997;0.28;0.94983;0.23;0.95383
SAUSA300_RS01895;metE;5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase;0.07;1;0.05;1;0.2;0.67522;0.07;1
SAUSA300_RS01900;-;bifunctional homocysteine S-methyltransferase/methylenetetrahydrofolate reductase;0.23;0.98491;-0.12;0.9686;-0.13;0.9646;-0.24;0.67537
SAUSA300_RS01905;-;PLP-dependent aspartate aminotransferase family protein;-0.53;0.69065;-0.37;0.52664;-0.28;0.67522;-0.32;0.71684
SAUSA300_RS01910;-;aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme;0.43;0.89432;0.28;0.62465;0.26;0.5947;0.33;0.50239
SAUSA300_RS01915;-;ParB/RepB/Spo0J family partition protein;0.05;1;0.24;0.86447;0.23;0.92568;0.06;1
SAUSA300_RS01920;-;mechanosensitive ion channel family protein;1.15;0.27121;0.2;0.95324;0.15;1;0.21;0.96793
SAUSA300_RS01930;ychF;redox-regulated ATPase YchF;0.6;0.96622;1.36;0.01811;1.23;0.16595;1.3;0.02994
SAUSA300_RS01935;-;hypothetical protein;-1.72;0.39808;0.7;0.5783;0.15;1;0.34;0.96793
SAUSA300_RS01955;-;Abi family protein;0.52;0.63928;-0.03;1;0.29;0.4291;0.14;0.92432
SAUSA300_RS01970;selX;staphylococcal enterotoxin-like toxin X;0.32;0.98197;0.61;0.37995;0.7;0.02659;0.98;0.01358
SAUSA300_RS01975;-;YxeA family protein;-0.12;1;0.01;1;0.24;0.96469;0.13;1
SAUSA300_RS01980;-;PepSY domain-containing protein;0.57;1;0.23;0.99426;-0.05;1;0.38;0.86536
SAUSA300_RS01985;-;helix-turn-helix domain-containing protein;-0.33;1;1.33;0.14603;0.76;0.56673;0.71;0.53705
SAUSA300_RS01990;-;GlsB/YeaQ/YmgE family stress response membrane protein;-1.98;0.33499;0.81;0.5783;0.48;0.92568;0.37;1
SAUSA300_RS01995;-;hypothetical protein;0.4;1;-0.46;0.99426;-0.05;1;-0.42;1
SAUSA300_RS02000;-;phosphoglycerate mutase family protein;0;1;-0.29;0.77889;-0.46;0.34024;-0.21;0.90306
SAUSA300_RS02005;-;hypothetical protein;-0.27;1;-0.44;0.74038;-0.23;1;-0.47;0.74334
SAUSA300_RS02010;-;NDxxF motif lipoprotein;0.13;1;0.3;0.86942;0.22;0.98416;0.37;0.74334
SAUSA300_RS02015;-;hypothetical protein;0.38;1;-0.25;0.94065;0.05;1;-0.2;0.93411
SAUSA300_RS02020;ahpF;alkyl hydroperoxide reductase subunit F;0.7;0.63928;-0.14;0.98589;0.22;0.64931;-0.02;1
SAUSA300_RS02025;ahpC;alkyl hydroperoxide reductase subunit C;-0.92;0.8278;-0.1;1;0.05;1;-0.41;0.98454
SAUSA300_RS02030;-;NADPH-dependent oxidoreductase;0.93;0.58363;-0.15;1;-0.17;1;-0.27;0.85478
SAUSA300_RS02035;-;L-cystine transporter;-0.09;1;0.06;1;0.1;1;-0.16;1
SAUSA300_RS02040;-;hypothetical protein;-4.37;0.97212;0.53;1;0.06;1;-0.89;1
SAUSA300_RS02045;-;hypothetical protein;-0.33;1;0.15;1;0.65;0.64931;-0.2;1
SAUSA300_RS02050;-;hypothetical protein;0.29;1;0.59;0.48817;-0.11;1;0.38;0.74492
SAUSA300_RS02055;-;general stress protein;0.45;1;1.43;0.09805;1.24;0.8348;1.09;0.45303
SAUSA300_RS02060;xpt;xanthine phosphoribosyltransferase;2.26;0.96622;0.16;1;0.21;1;-0.09;1
SAUSA300_RS02065;-;purine permease;-0.15;1;0.25;0.99937;0.29;1;0.45;0.9739
SAUSA300_RS02075;guaA;glutamine-hydrolyzing GMP synthase;-1.22;1;-1.29;0.9686;-1.17;1;0.08;1
SAUSA300_RS02080;-;hypothetical protein;-0.31;1;0.25;0.96117;0.61;0.51765;0.27;1
SAUSA300_RS02085;-;type II toxin-antitoxin system PemK/MazF family toxin;0.08;1;-0.18;0.91776;-0.08;1;-0.19;0.91748
SAUSA300_RS02090;-;transposase;1.84;1;0.97;0.44287;1.35;0.74561;0.26;1
SAUSA300_RS02095;-;hypothetical protein;0.57;1;0.54;0.74038;0.18;1;0.5;0.74492
SAUSA300_RS02100;-;DUF1304 domain-containing protein;0.12;1;-0.07;1;-0.06;1;-0.04;1
SAUSA300_RS02105;-;SDR family oxidoreductase;0.14;1;-0.02;1;0;1;0.05;1
SAUSA300_RS02110;-;superantigen-like protein SSL1;0.15;1;0.11;1;0.19;0.98675;-0.13;1
SAUSA300_RS02115;-;superantigen-like protein SSL2;0.44;0.88771;0.02;1;0.2;0.90643;-0.06;1
SAUSA300_RS02120;-;superantigen-like protein SSL3;-0.7;0.22665;-0.32;0.53236;-0.11;1;-0.28;0.7329
SAUSA300_RS02125;-;hypothetical protein;0.16;1;-0.68;0.88768;0.58;0.98022;0.19;1
SAUSA300_RS02130;-;superantigen-like protein SSL4;0.16;1;-0.53;0.26686;-0.23;0.92568;-0.43;0.54145
SAUSA300_RS02135;-;superantigen-like protein SSL5;-0.14;1;-0.22;0.86942;-0.02;1;-0.24;0.78233
SAUSA300_RS02145;-;superantigen-like protein SSL6;0.16;1;-0.24;0.78619;-0.07;1;-0.19;0.961
SAUSA300_RS02150;-;superantigen-like protein SSL7;-0.04;1;-0.2;0.91776;-0.16;1;-0.29;0.91748
SAUSA300_RS02155;-;superantigen-like protein SSL8;-0.58;0.8278;-0.1;1;0.19;0.96469;-0.01;1
SAUSA300_RS02160;-;superantigen-like protein SSL9;-0.03;1;-0.33;0.77889;-0.05;1;-0.33;0.80885
SAUSA300_RS02165;-;superantigen-like protein SSL10;0.64;0.7041;0.29;0.55275;0.21;0.94332;0.47;0.23392
SAUSA300_RS02175;-;type I restriction-modification system subunit M;-0.38;0.89432;-0.35;0.52664;-0.24;0.85164;-0.11;1
SAUSA300_RS02180;-;restriction endonuclease subunit S;0.07;1;-0.21;0.64282;-0.07;1;-0.21;0.71684
SAUSA300_RS02185;-;superantigen-like protein SSL11;0.06;1;0.22;0.86942;0.01;1;0.32;0.60801
SAUSA300_RS02190;-;FKLRK protein;0.55;0.425;-0.02;1;-0.02;1;-0.13;0.98454
SAUSA300_RS02195;spn;myeloperoxidase inhibitor SPIN;0.37;1;0.07;1;0.28;0.92568;0.54;0.69663
SAUSA300_RS02200;lpl1;tandem-type lipoprotein Lpl1;0.44;0.90275;-0.11;1;0;1;-0.18;0.961
SAUSA300_RS02205;lpl2;tandem-type lipoprotein Lpl2;0.09;1;-0.22;0.8569;-0.17;0.9646;-0.25;0.80885
SAUSA300_RS02210;-;tandem-type lipoprotein;0.07;1;0.01;1;0.3;0.90643;0.18;1
SAUSA300_RS02215;lpl4;tandem-type lipoprotein Lpl4;0.17;1;-0.34;0.52664;-0.18;0.9646;-0.3;0.76816
SAUSA300_RS02220;lpl5;tandem-type lipoprotein Lpl5;0.13;1;-0.22;0.91359;-0.13;1;-0.37;0.60801
SAUSA300_RS02225;lpl6;tandem-type lipoprotein Lpl6;0.27;1;-0.11;1;0.07;1;-0.05;1
SAUSA300_RS02230;lpl7;tandem-type lipoprotein Lpl7;-0.53;0.74329;-0.67;0.16654;-0.73;0.18407;-0.51;0.47347
SAUSA300_RS02235;lpl8;tandem-type lipoprotein Lpl8;0.54;0.7041;0.03;1;0.03;1;0.03;1
SAUSA300_RS02240;lpl9;tandem-type lipoprotein Lpl9;0.18;1;0.06;1;0.21;0.9646;-0.1;1
SAUSA300_RS02245;lpl10;tandem-type lipoprotein Lpl10;0.99;0.22665;0.26;0.53236;-0.05;1;0.09;1
SAUSA300_RS02250;-;hypothetical protein;0.35;0.81531;0.13;0.94943;0.27;0.63197;0.1;0.99525
SAUSA300_RS02255;-;hypothetical protein;0.84;1;0.6;0.66252;0.58;0.57204;0.78;0.20634
SAUSA300_RS02260;-;hypothetical protein;0.9;0.62937;-0.33;0.98589;0.04;1;-0.32;1
SAUSA300_RS02265;-;hypothetical protein;-0.31;1;-0.15;0.97452;0.04;1;0.03;1
SAUSA300_RS02270;-;GTP-binding protein;-0.1;1;-0.27;0.87871;-0.17;1;-0.21;0.96793
SAUSA300_RS02290;-;DUF2294 domain-containing protein;2.54;1;-0.61;0.9686;-1.34;0.5614;-0.44;0.83319
SAUSA300_RS02300;-;phosphatase PAP2 family protein;0.93;0.2406;-0.25;0.75694;-0.32;0.74561;-0.31;0.74492
SAUSA300_RS02305;-;carboxylesterase;0.75;0.87915;0.1;1;0.18;0.97418;-0.06;1
SAUSA300_RS02310;-;hypothetical protein;0.49;1;-0.01;1;0.27;1;0.18;1
SAUSA300_RS02315;-;sodium-dependent transporter;-1.23;0.63928;-1.01;0.63204;0.05;1;-0.79;0.79675
SAUSA300_RS02320;-;cysteine synthase family protein;0.36;1;-0.06;1;0.09;1;-0.3;0.97746
SAUSA300_RS02325;-;bifunctional cystathionine gamma-lyase/homocysteine desulfhydrase;-0.63;0.63928;-0.06;1;-0.03;1;-0.2;0.98563
SAUSA300_RS02330;-;methionine ABC transporter ATP-binding protein;0.64;0.5282;-0.1;1;-0.02;1;0.09;1
SAUSA300_RS02335;-;ABC transporter permease;-0.34;0.99124;-0.38;0.5049;-0.38;0.54283;-0.28;0.85478
SAUSA300_RS02340;gmpC;dipeptide ABC transporter glycylmethionine-binding lipoprotein;0.31;1;0.4;0.72823;-0.02;1;0.03;1
SAUSA300_RS02345;aaa;autolysin/adhesin Aaa;-0.32;0.93212;-0.05;1;0.15;0.98853;-0.07;1
SAUSA300_RS02350;-;hypothetical protein;-0.51;0.91856;-0.02;1;-0.19;1;-0.36;0.98454
SAUSA300_RS02355;-;NUDIX domain-containing protein;-1.76;0.5282;-0.39;1;-0.45;1;-0.02;1
SAUSA300_RS02360;-;GNAT family N-acetyltransferase;-0.46;1;-0.58;0.78619;-0.4;0.96469;-0.07;1
SAUSA300_RS02365;-;YibE/F family protein;-1.02;0.21005;-0.2;1;0.01;1;-0.36;0.82127
SAUSA300_RS02370;-;YibE/F family protein;-0.04;1;0.26;0.52664;0.54;0;0.26;0.55864
SAUSA300_RS02375;-;LysR family transcriptional regulator;0.11;1;-0.23;0.79712;-0.19;0.99975;-0.3;0.75246
SAUSA300_RS02380;gltB;glutamate synthase large subunit;0.12;1;0.02;1;0.04;1;0.07;0.98563
SAUSA300_RS02385;-;glutamate synthase subunit beta;0;1;-0.03;1;0.2;0.88965;0.08;1
SAUSA300_RS02395;treP;PTS system trehalose-specific EIIBC component;-0.36;0.89432;-0.3;0.59997;-0.07;1;-0.16;0.92432
SAUSA300_RS02400;treC;alpha%2Calpha-phosphotrehalase;0.98;0.90275;-1;0.55493;0.03;1;0.34;0.98563
SAUSA300_RS02405;treR;trehalose operon repressor;0.69;0.8632;-0.04;1;0.07;1;0.05;1
SAUSA300_RS02410;-;hypothetical protein;-0.28;1;-0.62;1;-0.77;1;-0.84;1
SAUSA300_RS02415;-;N-acetyltransferase;0.04;1;-0.38;0.74038;-0.13;1;-0.22;1
SAUSA300_RS02435;-;hypothetical protein;-0.39;1;-0.94;0.45295;-0.54;0.90823;-0.91;0.60801
SAUSA300_RS02455;-;aminotransferase class V-fold PLP-dependent enzyme;-0.49;1;0.71;0.46992;0.36;0.98416;0.04;1
SAUSA300_RS02480;-;stage 0 sporulation family protein;-0.51;0.63928;0.59;0.0895;0.63;0.05826;0.67;0.00501
SAUSA300_RS02485;yabA;DNA replication initiation control protein YabA;-1.01;0.85259;0.67;0.4863;0.55;0.87315;0.66;0.7329
SAUSA300_RS02490;-;tRNA1(Val) (adenine(37)-N6)-methyltransferase;-0.09;1;-0.04;1;0.01;1;0.01;1
SAUSA300_RS02495;-;GIY-YIG nuclease family protein;-0.64;0.90275;0.22;0.91776;0.14;1;0.09;1
SAUSA300_RS02500;rsmI;16S rRNA (cytidine(1402)-2'-O)-methyltransferase;-0.47;0.62937;0.01;1;-0.03;1;0.02;1
